id,ra,dec,redshift,mag_u,mag_g,mag_r,mag_i,mag_z,deVRad_r,deVAB_r,expRad_r,expAB_r,stellar_mass,votes,p_el_debiased,p_cs_debiased,spiral,elliptical,uncertain
587728947974832000,152.33713,-0.81317135,0.190908,21.114531,18.803946,17.546703,17.075094,16.665571,1.518333,0.69714,1.008732,0.742725,11.270762,41,0.84299999,0.104,0,1,0
587728947974832000,152.31747,-0.74041129,0.067134,19.075037,18.104883,17.802313,-9999,-9999,5.696896,0.35164,2.384224,0.371888,9.505971,54,0.063,0.51200002,0,0,1
587728948511703000,152.25671,-0.34889085,0.0712,19.167284,18.021589,17.62001,17.319088,17.188889,4.107537,0.874775,1.92891,0.870071,9.666656,56,0.29300001,0.50300002,0,0,1
588848898826699000,152.06527,-0.8673875,0.235863,19.681002,18.393101,17.386986,16.982321,16.625999,7.047962,0.904269,2.799091,0.919657,11.350864,51,0.64700001,0.235,0,0,1
587728948511637000,152.19924,-0.2698308,0.045235,16.581352,14.992992,14.29741,13.933677,13.665813,4.898501,0.734441,3.520563,0.680434,10.964179,28,0.92299998,0.042,0,1,0
587727942424068000,151.68393,1.1298378,0.032491,17.538679,16.126587,15.564367,15.232215,15.000998,9.083266,0.444073,4.685637,0.433051,10.046872,63,0.36300001,0.509,0,0,1
587728950122184000,151.95737,0.88128958,0.121516,19.572292,17.897753,17.01899,16.644733,16.276577,2.804138,0.639852,1.54398,0.593437,10.794865,34,0.082,0.87900001,1,0,0
587728950122184000,152.09422,0.9937692,0.062527,19.427477,18.120207,17.732824,17.506802,17.426149,8.914085,0.453245,3.358141,0.499968,9.488092,38,0.167,0.60900003,0,0,1
588848899900506000,152.15172,-0.07337314,0.184329,20.418076,18.402731,17.169369,16.684975,16.352663,1.768829,0.899041,1.063742,0.921284,11.349908,55,0.94999999,0.031,0,1,0
588848899900571000,152.28951,-0.06304373,0.095463,19.307938,17.512676,16.602976,16.210659,15.876504,1.322387,0.874968,0.986094,0.86832,10.850458,27,0.73299998,0.155,0,0,1
587728949048574000,152.28181,0.05995771,0.09584,18.907009,16.867458,15.897053,15.476646,15.127261,3.054399,0.672246,1.667887,0.731358,11.220685,33,0.634,0.12,0,0,1
587728947975356000,153.55852,-0.71444334,0.203469,19.980768,18.428246,17.38344,16.911903,16.57519,3.223632,0.950257,1.574978,0.971731,11.259501,25,0.56800002,0.308,0,0,1
588848898827288000,153.34833,-0.89277032,0.045416,18.691463,16.850452,16.04431,15.65519,15.377585,2.507512,0.750874,1.817458,0.722549,10.368688,42,0.68199998,0.127,0,0,1
587728947975290000,153.37398,-0.81542028,0.043148,19.649544,18.015785,17.24337,16.8929,16.650227,2.757035,0.428587,1.697872,0.471575,9.762737,30,0.35800001,0.44800001,0,0,1
588848898827026000,152.7621,-0.88768036,0.087042,19.196636,17.229111,16.266071,15.829408,15.496256,2.372019,0.863791,1.521973,0.861738,10.996493,37,0.87900001,0.121,0,0,1
588848899363897000,152.74167,-0.50283064,0.046003,16.922131,15.051826,14.204854,13.816623,13.516675,4.671139,0.786451,3.577093,0.760781,11.149819,26,1,0,0,1,0
588848899900965000,153.32359,-0.08115774,0.095064,20.235895,18.423733,17.518032,17.096352,16.799967,2.698413,0.259822,1.843177,0.305914,10.496682,29,0.12,0.88,1,0,0
587728948511834000,152.62193,-0.33270749,0.069013,18.724016,17.858896,17.58165,17.28714,17.215294,2.707608,0.527913,1.608995,0.541254,9.551288,23,0.25400001,0.472,0,0,1
587728948511834000,152.66202,-0.34086455,0.216088,20.871115,18.809263,17.404892,16.89608,16.589418,2.126211,0.885701,1.035765,0.933754,11.458881,50,0.83999997,0,0,1,0
