id,redshift,mag_u,mag_g,mag_r,mag_i,mag_z,deVRad_r,deVAB_r,expRad_r,expAB_r,stellar_mass,class
587726031168667000,0.252135,21.172146,18.833721,17.521152,17.041834,16.771067,1.710423,0.904169,1.160701,0.893686,11.350921,0
587722984418443000,0.095988,19.446711,17.585876,16.674128,16.268276,15.976646,0.833991,0.890738,0.902691,0.910759,11.198216,0
587722982271549000,0.110493,18.863476,16.804701,15.789769,15.375251,14.99239,3.057959,0.725599,2.214564,0.670565,11.435851,0
588848900977655000,0.132874,19.226921,17.341902,16.276552,15.826931,15.449094,3.850473,0.890346,1.939648,0.919833,11.386725,0
588848901514592000,0.106391,19.18515,17.820303,17.114031,16.742727,16.518755,8.013004,0.438417,3.589551,0.450769,10.554961,1
587728949052309000,0.125207,20.30735,18.245638,17.258736,16.769171,16.418936,8.764093,0.162107,4.303378,0.190407,10.967196,1
587728950126051000,0.071184,19.204941,18.00445,17.583811,17.268044,17.142422,8.691351,0.183547,3.734313,0.234936,9.706417,1
587728949052440000,0.081278,19.066706,17.928585,17.504414,17.150534,17.010496,4.600064,0.293561,2.420954,0.341947,9.916661,1
587728949052833000,0.072516,20.797392,18.609682,17.684896,17.170658,16.834469,4.107433,0.232548,2.407064,0.278314,10.335405,1
588848899904700000,0.039376,19.13825,17.372663,16.559586,16.200272,15.884742,1.524487,0.709427,1.030034,0.752215,10.045878,0
588848899904569000,0.12772,20.232244,18.391596,17.412128,16.917376,16.555508,5.544148,0.154442,3.072011,0.186912,10.919725,1
587728949052506000,0.026263,18.361061,17.316017,17.027149,16.829855,16.769526,18.180727,0.182003,7.378674,0.199935,8.776378,1
588848900440850000,0.129665,19.867739,17.96574,16.951246,16.509605,16.172318,2.479349,0.685492,1.490042,0.631752,11.115196,1
588848899370385000,0.241096,20.768644,18.392134,16.963501,16.431366,16.113567,3.08944,0.768001,1.549184,0.788743,11.737314,0
588848899906994000,0.067168,18.617575,16.68754,15.803376,15.395256,15.054201,2.223107,0.87947,1.320394,0.930685,10.907331,0
587722984418508000,0.129321,19.411833,17.535887,16.429695,15.945952,15.540602,4.325134,0.819134,2.033508,0.82011,11.818472,0
588848900980539000,0.120214,20.099983,18.083719,17.106239,16.686447,16.354013,1.789601,0.866041,1.026472,0.877903,10.906086,0
588848901517672000,0.08816,19.365183,18.090485,17.478928,17.131153,16.936651,5.724074,0.381316,2.711718,0.423492,10.189775,1
588848901517738000,0.19798,20.370426,18.340235,17.182129,16.7349,16.410025,1.155128,0.753728,0.811375,0.770105,11.335787,0
588848900980867000,0.038549,16.883762,15.411409,14.715317,14.343791,14.065133,12.056361,0.578326,7.146364,0.487364,10.644776,1
588848901517934000,0.083635,18.644024,16.979305,16.140184,15.709602,15.397586,5.819124,0.343076,3.095897,0.370207,10.979264,1
588848900444324000,0.055447,19.592588,17.846676,16.976978,16.535801,16.182482,4.792079,0.270671,2.671033,0.310719,10.29494,1
588848901514985000,0.117779,19.332109,17.370625,16.38415,15.97664,15.619249,2.915132,0.813777,1.580652,0.811018,11.184792,0
588848901514985000,0.118774,18.525137,17.405102,16.702745,16.329998,16.063673,5.115956,0.807377,2.542683,0.811979,10.857614,1
587728950126641000,0.109161,20.526983,18.495462,17.50798,17.096031,16.719036,1.847416,0.322114,1.518005,0.374105,10.630525,1
588848900441899000,0.037648,17.412521,15.646927,14.793344,14.356185,14.002012,10.171743,0.285008,6.283617,0.284135,10.811945,1
587728950126706000,0.10648,18.347202,16.590929,15.607707,15.185003,14.812699,4.580521,0.779125,2.423521,0.768527,11.402795,0
588848899905683000,0.108017,18.735317,17.933794,17.673725,17.471724,17.412548,5.861634,0.555143,2.631777,0.588156,9.738543,1
587728949053554000,0.134944,19.292912,17.704182,16.819292,16.361788,15.981766,6.381579,0.358913,3.212884,0.384085,11.100867,1
587728947979681000,0.04118,17.117483,16.004513,15.577179,15.333773,15.130006,18.115025,0.571763,7.126598,0.542495,9.960821,1
587728947979616000,0.075831,20.094028,18.049606,17.167498,16.67556,16.353691,13.058994,0.10988,5.825248,0.142638,10.53339,1
588848899371499000,0.10367,20.128593,18.220743,17.266708,16.811129,16.434662,4.247345,0.151858,2.685405,0.200393,10.747966,1
587722982809600000,0.098364,18.140114,16.352404,15.506397,15.102794,14.796123,6.309378,0.615558,3.037108,0.616767,11.255495,0
587722982809403000,0.147803,19.398771,18.073811,17.279156,16.879034,16.636358,2.743508,0.621021,1.529981,0.670711,10.842388,1
588848899907846000,0.075884,18.543516,17.182411,16.597151,16.300007,16.034229,4.533284,0.562739,2.411586,0.611802,10.334661,1
588848899907715000,0.100024,19.488262,17.775246,16.868019,16.424032,16.04072,7.047504,0.200359,3.980752,0.209496,10.874234,1
588848900981194000,0.072867,18.654112,17.31225,16.702276,16.359838,16.121227,13.19215,0.326333,5.313005,0.345038,10.325224,1
587722983345684000,0.07329,19.36548,18.16057,17.586843,17.238766,17.042334,14.607284,0.174034,5.357743,0.215504,9.964748,1
588848900981522000,0.14161,20.551374,18.406071,17.350458,16.922773,16.599773,1.929407,0.300004,1.50184,0.333658,10.96606,1
588848900444913000,0.151045,19.325804,17.972439,17.11327,16.673872,16.343601,5.921327,0.954909,2.783999,0.941661,11.066281,1
588848899908108000,0.109313,18.667227,17.381207,16.651608,16.277079,16.008736,6.272611,0.761879,2.917104,0.781534,10.821775,1
587722984419688000,0.063404,17.166817,15.551707,14.784142,14.392797,14.104855,8.542603,0.828557,4.974754,0.835966,10.998644,1
588848900445176000,0.071502,19.087807,17.138161,16.181961,15.667716,15.240052,8.4344,0.227039,4.165458,0.270158,11.023134,1
588848900445241000,0.02454,17.330229,15.587925,14.890698,14.5551,14.321659,7.93661,0.746734,4.481342,0.725497,10.133225,0
587722983347060000,0.13021,18.987926,17.112572,16.100794,15.668174,15.298656,3.873724,0.893121,1.972371,0.904671,11.447923,0
588848900445896000,0.069198,20.147572,18.359358,17.566803,17.178909,16.859879,8.729359,0.138186,4.248237,0.176815,10.152032,1
588848899908894000,0.129693,19.787058,17.872652,16.850801,16.431913,16.083246,2.626822,0.738288,1.791066,0.6715,11.087157,1
588848898834759000,0.104684,19.338467,18.11471,17.561436,17.261478,17.13773,14.855114,0.590559,4.558921,0.604244,10.110053,1
588848899371565000,0.133073,20.479963,18.403591,17.40867,16.858242,16.472919,9.505687,0.087171,5.033916,0.112893,11.050278,1
587722983346602000,0.209208,20.602251,18.334309,16.97118,16.482264,16.137472,3.931883,0.820428,2.284272,0.823531,11.592712,0
587722982809534000,0.102599,20.063351,18.126886,17.118044,16.601574,16.237806,4.342269,0.264411,2.451336,0.298833,10.985533,1
588848898834563000,0.024777,18.043921,16.407255,15.571712,15.134285,14.758688,8.253721,0.344354,4.534907,0.339131,10.195847,1
